title	year	citations	authors	authororder	openaccess	oastatus	relatedworks	concepts	topics	domain	field	subfield	languages	worktype
Title IX as Pragmatic Feminism	2007	4	Deborah L. Brake	1. Deborah L. Brake	True	green	https://openalex.org/W3122846758; https://openalex.org/W1505172604; https://openalex.org/W2299416241; https://openalex.org/W1528329307; https://openalex.org/W2113984818; https://openalex.org/W1856273281; https://openalex.org/W1510966912; https://openalex.org/W1501383257; https://openalex.org/W1966723164; https://openalex.org/W3125088671; https://openalex.org/W3081650134; https://openalex.org/W1491279347; https://openalex.org/W2392735568; https://openalex.org/W2498542679; https://openalex.org/W1510424426; https://openalex.org/W1518656247; https://openalex.org/W2782110813; https://openalex.org/W2921287681; https://openalex.org/W1981743521; https://openalex.org/W2908949473	Feminist legal theory; Pragmatism; Feminism; Feminist theory; Critical race theory; Sociology; Oppression; Context (archaeology); Unitary state; Epistemology; Law; Ideology; Law and economics; Political science; Philosophy; Politics; Racism; Biology; Paleontology	Business Law and Ethics; Legal Issues in Education; Doping in Sports	Social Sciences	Business, Management and Accounting	Accounting	en	article
Bifurcation: Personal Identity and Larger Feminisms	2000	7	Moon Charania	1. Moon Charania	False	closed	https://openalex.org/W3015493264; https://openalex.org/W3137428374; https://openalex.org/W2114097281; https://openalex.org/W4316653420; https://openalex.org/W2364660711; https://openalex.org/W2105208714; https://openalex.org/W2947325321; https://openalex.org/W19677740; https://openalex.org/W4381738215; https://openalex.org/W3149381492	Patriarchy; Gender studies; Opposition (politics); Representation (politics); Identity (music); Muslim world; Sociology; Western europe; Politics; Political science; Law; Aesthetics; European union; Economic policy; Philosophy; Business	Gender Politics and Representation; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Gender Studies	en	article
Modernism and Postmodernism in Feminism: a Conceptual Study on the Developments of Its Definition, Waves and School of Thought	2019	7	Mohd Hafiz Abdul Karim; Ariff Aizuddin Azlan	1. Mohd Hafiz Abdul Karim; 2. Ariff Aizuddin Azlan	False	closed	https://openalex.org/W2257945061; https://openalex.org/W2319299897; https://openalex.org/W2385033349; https://openalex.org/W2378136566; https://openalex.org/W2378616588; https://openalex.org/W1990924773; https://openalex.org/W2365404749; https://openalex.org/W196495025; https://openalex.org/W2022951190; https://openalex.org/W2130801997; https://openalex.org/W2388181889; https://openalex.org/W2998211913; https://openalex.org/W1553284523; https://openalex.org/W601351805; https://openalex.org/W2051750415; https://openalex.org/W1799227298; https://openalex.org/W340868909; https://openalex.org/W1535164325; https://openalex.org/W1974033750; https://openalex.org/W3136059723	Feminism; Postmodernism; Sociology; Modernism (music); Gender studies; Marxist philosophy; Epistemology; Politics; Aesthetics; Philosophy; Political science; Law	Literary Theory and Cultural Hermeneutics; Education, Sociology, Communication Studies; Gender and Women's Rights	Social Sciences	Arts and Humanities	Literature and Literary Theory	en	article
Feminisms, Fuzzy Sciences, and Interspecies Intersectionalities: The Promises and Perils of Contemporary Dog Training	2017	12	Harlan Eugene Weaver	1. Harlan Eugene Weaver	True	diamond	https://openalex.org/W4387497383; https://openalex.org/W3183948672; https://openalex.org/W3173606202; https://openalex.org/W3110381201; https://openalex.org/W2948807893; https://openalex.org/W2935909890; https://openalex.org/W2778153218; https://openalex.org/W2758277628; https://openalex.org/W2748952813; https://openalex.org/W1531601525	Dominance (genetics); Sociology; Training (meteorology); Human sexuality; Psychological intervention; Gender studies; Social science; Psychology; Geography; Biology; Biochemistry; Psychiatry; Gene; Meteorology	Human-Animal Interaction Studies; Geographies of human-animal interactions; Wildlife Ecology and Conservation	Life Sciences	Biochemistry, Genetics and Molecular Biology	Genetics	en	article
Online feminism	2019	3	Vanda Černohorská	1. Vanda Černohorská	False	closed	https://openalex.org/W2748952813; https://openalex.org/W3126546027; https://openalex.org/W2027252379; https://openalex.org/W246447256; https://openalex.org/W1881776706; https://openalex.org/W1990924773; https://openalex.org/W1973525777; https://openalex.org/W2044727064; https://openalex.org/W1987033788; https://openalex.org/W2317596408	Feminism; Sociology; Art; Gender studies	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Lesbians, Feminism, and Psychoanalysis: The Second Wave	2004	7	Judith M. Glassgold; Suzanne Iasenza	1. Judith M. Glassgold; 2. Suzanne Iasenza	False	closed	https://openalex.org/W1998752102; https://openalex.org/W2322111806; https://openalex.org/W2909493642; https://openalex.org/W127177741; https://openalex.org/W2483120182; https://openalex.org/W2015001067; https://openalex.org/W2734366385; https://openalex.org/W2924118807; https://openalex.org/W2654347583; https://openalex.org/W2887726099; https://openalex.org/W2121400623; https://openalex.org/W3107507806; https://openalex.org/W2914128940; https://openalex.org/W2803642891; https://openalex.org/W2588784115; https://openalex.org/W1521061567; https://openalex.org/W2910890131; https://openalex.org/W2020401301; https://openalex.org/W2597581339; https://openalex.org/W426366057	Feminism; Psychoanalysis; Gender studies; Sociology; Psychology	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	book
Where intersectional feminism doesn't fit: Energy transition and Ubuntu feminism?	2024	3	Ellen Fungisai Chipango	1. Ellen Fungisai Chipango	True	hybrid	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology	African cultural and philosophical studies; African Sexualities and LGBTQ+ Issues; Gender, Feminism, and Media	Social Sciences	Social Sciences	Education	en	article
Feyerabend, Feminism, and Philosophy	2013	5	Noretta Koertge	1. Noretta Koertge	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2374086689; https://openalex.org/W3176279093; https://openalex.org/W2373945265; https://openalex.org/W2370203001; https://openalex.org/W1912565424; https://openalex.org/W4246410201; https://openalex.org/W1968505275; https://openalex.org/W2959939328; https://openalex.org/W2385081216	Feminism; Download; Permission; Reuse; Library science; Computer science; World Wide Web; Sociology; Political science; Engineering; Gender studies; Law; Waste management	Simone de Beauvoir and Sartre; Philosophical Ethics and Theory; Philosophy, Science, and History	Social Sciences	Arts and Humanities	Philosophy	en	article
Judith Butler, Feminism, and the Sociology of Sport	2017	7	Kristi Tredway	1. Kristi Tredway	False	closed	https://openalex.org/W2093226474; https://openalex.org/W2474750079; https://openalex.org/W2269568893; https://openalex.org/W3124358293; https://openalex.org/W2533146138; https://openalex.org/W2003239925; https://openalex.org/W2475527962; https://openalex.org/W2000690450; https://openalex.org/W2804267793; https://openalex.org/W2488306520	Gender studies; Human sexuality; Transgender; Sociology; Performativity; Feminism; Masculinity; Queer theory; Cultural studies; Field (mathematics); Aesthetics; Art; Anthropology; Mathematics; Pure mathematics	Sports, Gender, and Society; Sport and Mega-Event Impacts; Gender Roles and Identity Studies	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Women, Race & Class	2019	338	Angela Y. Davis	1. Angela Y. Davis	True	green	https://openalex.org/W2337002970; https://openalex.org/W2005061283; https://openalex.org/W1967782086; https://openalex.org/W1525179934; https://openalex.org/W64581525; https://openalex.org/W2038600245; https://openalex.org/W1570800290; https://openalex.org/W1986792585; https://openalex.org/W1556247762; https://openalex.org/W1597183254; https://openalex.org/W1516518760; https://openalex.org/W2061732992; https://openalex.org/W1598372787; https://openalex.org/W2009551222; https://openalex.org/W1973683078; https://openalex.org/W2097098436; https://openalex.org/W1603664960; https://openalex.org/W2066043350; https://openalex.org/W2026222950; https://openalex.org/W1571136830	Race (biology); Passion; Scholarship; Gender studies; Class (philosophy); Feminism; Communism; Political science; Sociology; Law; Psychology; Social psychology; Epistemology; Philosophy; Politics	Historical Gender and Feminism Studies; French Historical and Cultural Studies; Colonial History and Postcolonial Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Feminism and the Quality of Life	2003	3	Deborah C. Poff	1. Deborah C. Poff	False	closed	https://openalex.org/W4380136770; https://openalex.org/W2067674665; https://openalex.org/W4380568662; https://openalex.org/W3135512811; https://openalex.org/W2279151839; https://openalex.org/W2964200250; https://openalex.org/W2728743471; https://openalex.org/W2016749656; https://openalex.org/W2906877784; https://openalex.org/W2019962676	Happiness; Feminism; Reliability (semiconductor); Discriminant validity; Construct (python library); Psychology; Sample (material); Construct validity; Gender studies; Sociology; Social psychology; Computer science; Developmental psychology; Psychometrics; Quantum mechanics; Physics; Chemistry; Power (physics); Internal consistency; Programming language; Chromatography	Gender Roles and Identity Studies; Work-Family Balance Challenges; Obesity and Health Practices	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Feminism and democratic renewal	2012	5	Tess Lanning	1. Tess Lanning	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Democracy; Gender studies; Sociology; Political science; Law; Politics	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Philosophy for Children	1994	5	Ann Margaret Sharp	1. Ann Margaret Sharp	False	closed	https://openalex.org/W2317596408; https://openalex.org/W1987033788; https://openalex.org/W2084043941; https://openalex.org/W1974317653; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W1484437451; https://openalex.org/W2945638871; https://openalex.org/W4253850973; https://openalex.org/W1946080426	Feminism; Sociology; Gender studies	Education and Critical Thinking Development; Religious Education and Schools; Ethics in medical practice	Social Sciences	Social Sciences	Education	en	article
Futurist Women. Florence, Feminism and the New Sciences	2019	8	Paola Sica; Cristina Caracchini	1. Paola Sica; 2. Cristina Caracchini	True	bronze	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W1935629733; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527	Futurist; Feminism; Art; Art history; Gender studies; Sociology	Italian Literature and Culture	Social Sciences	Arts and Humanities	General Arts and Humanities	en	article
Experiencing African feminisms	2016	3	Evelyne Tegomoh	1. Evelyne Tegomoh	False	closed	https://openalex.org/W2087550043; https://openalex.org/W2075613311; https://openalex.org/W141147545; https://openalex.org/W1979609922; https://openalex.org/W2268327080; https://openalex.org/W2623406677; https://openalex.org/W3207708248; https://openalex.org/W2884173187; https://openalex.org/W2774238893; https://openalex.org/W2948193776; https://openalex.org/W962896969; https://openalex.org/W2584620402; https://openalex.org/W2328758811; https://openalex.org/W2974213521; https://openalex.org/W2531824203; https://openalex.org/W2598583637; https://openalex.org/W2737272489; https://openalex.org/W2484420714; https://openalex.org/W1577936338; https://openalex.org/W1984360516	Feminism; Narrative; Perspective (graphical); Gender studies; Reading (process); Sociology; Personal narrative; Political science; Literature; Art; Law; Visual arts	African Sexualities and LGBTQ+ Issues; Historical and Contemporary Political Dynamics; African history and culture studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
The last taboo: women, body hair and feminism	2011	8	Karín Lesnik‐Oberstein	1. Karín Lesnik‐Oberstein	False	closed	https://openalex.org/W2953321335; https://openalex.org/W2370670064; https://openalex.org/W4285504331; https://openalex.org/W2031514336; https://openalex.org/W2419564561; https://openalex.org/W2473984047; https://openalex.org/W1975383928; https://openalex.org/W4232358781; https://openalex.org/W2955987787; https://openalex.org/W4236811796	Taboo; Patriarchy; Shame; Ridiculous; Femininity; Disgust; Gender studies; Ideal (ethics); Feminism; Sociology; Psychoanalysis; Psychology; Art; Philosophy; Literature; Social psychology; Epistemology; Anthropology; Anger	Diversity and Impact of Dance; Historical Gender and Feminism Studies; Obesity and Health Practices	Social Sciences	Psychology	Experimental and Cognitive Psychology	en	book-chapter
Feminism in Egypt: A Conversation with Nawal Sadawi	1981	7	Sarah Graham‐Brown	1. Sarah Graham‐Brown	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Conversation; Feminism; Sociology; Psychoanalysis; Gender studies; Psychology; Communication	Socioeconomic Development in MENA; Islamic Studies and History	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Editorial introduction: Towards a transnational feminism: Dialogues on feminisms and psychologies in a Latin American context	2011	6	Marisela Montenegro; Rose Capdevila; Heidi J. Figueroa Sarriera	1. Marisela Montenegro; 2. Rose Capdevila; 3. Heidi J. Figueroa Sarriera	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Latin Americans; Context (archaeology); Gender studies; Sociology; Political science; Geography; Law; Archaeology	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	editorial
Feminism and intersectionality in Swedish Geography	2019	6	Srilata Sircar	1. Srilata Sircar	False	closed	https://openalex.org/W3033251474; https://openalex.org/W4321374016; https://openalex.org/W3137567496; https://openalex.org/W2884164797; https://openalex.org/W4213365591; https://openalex.org/W4306957361; https://openalex.org/W1976160542; https://openalex.org/W1471997858; https://openalex.org/W2169943413; https://openalex.org/W3195798280	Intersectionality; Feminism; Gender studies; Sociology; Geography	Historical Geography and Geographical Thought; Data Analysis and Archiving; Contemporary Sociological Theory and Practice	Social Sciences	Social Sciences	Geography, Planning and Development	en	article
Feminism, embodiment and emotions	2020	5	Luna Dolezal	1. Luna Dolezal	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Sociology; Psychology; Gender studies; Aesthetics; Psychoanalysis; Art	Emotional Labor in Professions; Emotions and Moral Behavior; Gender, Feminism, and Media	Social Sciences	Social Sciences	Sociology and Political Science	en	book-chapter
Feminism and Postmodernism-Another View	1992	6	Mary Poovey	1. Mary Poovey	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2367594158; https://openalex.org/W2384549566; https://openalex.org/W2257945061; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030	Feminism; Postmodernism; Sociology; Gender studies; Philosophy; Epistemology	Gender, Feminism, and Media	Social Sciences	Social Sciences	Gender Studies	en	article
Global Politics and Transnational Feminisms	2004	6	Jindy Pettman	1. Jindy Pettman	False	closed	https://openalex.org/W2759079128; https://openalex.org/W2774545267; https://openalex.org/W3035617090; https://openalex.org/W1993703718; https://openalex.org/W2058903228; https://openalex.org/W2597212697; https://openalex.org/W1990755353; https://openalex.org/W651788724; https://openalex.org/W2768888146; https://openalex.org/W3015099592; https://openalex.org/W2022498242; https://openalex.org/W99866142; https://openalex.org/W979183105; https://openalex.org/W1117691351; https://openalex.org/W2563795572; https://openalex.org/W2196666483; https://openalex.org/W2129790967; https://openalex.org/W2211862502; https://openalex.org/W2226352009; https://openalex.org/W2024903258	Politics; Political science; Gender studies; Sociology; Law	Gender Politics and Representation; Labor Movements and Unions	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
Economism and Feminism: Hidden in the Household A Comment on the Domestic Labour Debate	1983	6	Angela Miles	1. Angela Miles	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914; https://openalex.org/W4235493931	Feminism; Economics; Gender equality; Labour economics; Sociology; Political science; Political economy; Gender studies	Gender, Labor, and Family Dynamics	Social Sciences	Social Sciences	Gender Studies	en	article
Teaching Women: Feminism and English Studies	1989	7	anne-thompson-and-helen-wilcox	1. anne-thompson-and-helen-wilcox	False	closed	https://openalex.org/W2111414621; https://openalex.org/W54680066; https://openalex.org/W3210331162; https://openalex.org/W3197374835; https://openalex.org/W2078385864; https://openalex.org/W1976016439; https://openalex.org/W2985095370; https://openalex.org/W2962360372; https://openalex.org/W2561490853; https://openalex.org/W2046177512; https://openalex.org/W2738171834; https://openalex.org/W2092959983; https://openalex.org/W275370344; https://openalex.org/W234545713; https://openalex.org/W2148738741; https://openalex.org/W228742578; https://openalex.org/W2346686562; https://openalex.org/W2913236990; https://openalex.org/W3170101716; https://openalex.org/W2731459341	Feminism; Gender studies; Sociology	Historical Gender and Feminism Studies; Gender Roles and Identity Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Feminism Faces Fundamentalism in India	1994	6	Radha Kumar	1. Radha Kumar	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2053232913; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Fundamentalism; Gender studies; Sociology; Political science; Politics; Law	Indian Economic and Social Development; Gender Politics and Representation	Social Sciences	Economics, Econometrics and Finance	Economics and Econometrics	en	article
On Bodies, Technologies, and Feminisms	2001	5	Nelly Oudshoorn	1. Nelly Oudshoorn	False	closed	https://openalex.org/W572720435; https://openalex.org/W2088167710; https://openalex.org/W3095212584; https://openalex.org/W2490087740; https://openalex.org/W2970047994; https://openalex.org/W1952824134; https://openalex.org/W2037912262; https://openalex.org/W1606234411; https://openalex.org/W2911411363; https://openalex.org/W3043690904; https://openalex.org/W2012877570; https://openalex.org/W2065081080; https://openalex.org/W100445689; https://openalex.org/W2998837388; https://openalex.org/W2558096131; https://openalex.org/W3149841470; https://openalex.org/W3016699482; https://openalex.org/W2041857199; https://openalex.org/W2776179988; https://openalex.org/W2970335720	Political science	Posthumanist Ethics and Activism	Social Sciences	Social Sciences	Cultural Studies	en	article
Feminism and the Politics of Difference	1998	5	Judy Purdom; Society for Women in Philosophy UK	1. Judy Purdom; 2. Society for Women in Philosophy UK	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Politics; Political science; Gender studies; Sociology; Law	Gender Politics and Representation	Social Sciences	Social Sciences	Gender Studies	en	article
Feminism and Social Justice	2021	5	David A. White	1. David A. White	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2094403418; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874; https://openalex.org/W2899674914	Feminism; Social justice; Sociology; Gender studies; Political science; Criminology	Gender, Labor, and Family Dynamics	Social Sciences	Social Sciences	Gender Studies	en	book-chapter
The poverty of neoliberalized feminism: gender equality in a ‘best practice’ large-scale land investment in Ghana	2019	16	Kristina Lanz; Elisabeth Prügl; Jean‐David Gerber	1. Kristina Lanz; 2. Elisabeth Prügl; 3. Jean‐David Gerber	False	closed	https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412; https://openalex.org/W2384243384	Poverty; Gender studies; Sociology; Economic growth; Feminism; Context (archaeology); Power (physics); Inequality; Scale (ratio); Gender equality; Investment (military); Political science; Politics; Economics; Geography; Law; Quantum mechanics; Cartography; Mathematical analysis; Physics; Mathematics; Archaeology	Agriculture, Land Use, Rural Development; Microfinance and Financial Inclusion; Land Rights and Reforms	Life Sciences	Agricultural and Biological Sciences	General Agricultural and Biological Sciences	en	article
Re-Membering Our Own Power: Occaneechi Activism, Feminism, and Political Action Theories	2015	12	Marshall Jeffries	1. Marshall Jeffries	False	closed	https://openalex.org/W2038284070; https://openalex.org/W2020931302; https://openalex.org/W2393835291; https://openalex.org/W2349375644; https://openalex.org/W1543675275; https://openalex.org/W2375743546; https://openalex.org/W1992295819; https://openalex.org/W2370005928; https://openalex.org/W1017320593; https://openalex.org/W2364133757	Grassroots; Tribe; Politics; Indigenous; Feminism; Gender studies; Sociology; State (computer science); Power (physics); Nothing; Colonialism; Political science; Law; Anthropology; Philosophy; Algorithm; Computer science; Quantum mechanics; Physics; Epistemology; Ecology; Biology	Indigenous Health, Education, and Rights	Social Sciences	Social Sciences	Health	en	article
Gender, Feminism and the Civil Commons: Women and the Anti-corporate, Anti-war Movement for Globalization from Below	2001	10	Terisa E. Turner; Leigh Brownhill	1. Terisa E. Turner; 2. Leigh Brownhill	False	closed	https://openalex.org/W2080765917; https://openalex.org/W4386465905; https://openalex.org/W1515606565; https://openalex.org/W4308969617; https://openalex.org/W4244101061; https://openalex.org/W3124199626; https://openalex.org/W2104056721; https://openalex.org/W2363678567; https://openalex.org/W2241306453; https://openalex.org/W86198616	Feminism; Commons; Movement (music); Globalization; Political science; Gender studies; Gender equality; Social movement; Spanish Civil War; Civil society; Global commons; Political economy; Sociology; Politics; Law; Art; Ecology; Aesthetics; Biology	Globalization and Cultural Identity; Political Economy and Marxism; Military history and social perspectives	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Shane Phelan , Identity Politics: Lesbian Feminism and the Limits of Community . Reviewed by	1990	12	Lois Pineau	1. Lois Pineau	False	closed	https://openalex.org/W2078146307; https://openalex.org/W2735922655; https://openalex.org/W2309785387; https://openalex.org/W2273620764; https://openalex.org/W619973579; https://openalex.org/W2017959392; https://openalex.org/W2085078693; https://openalex.org/W1688476658; https://openalex.org/W626908230; https://openalex.org/W3081080598; https://openalex.org/W2070712511; https://openalex.org/W3106863249; https://openalex.org/W2202288768; https://openalex.org/W1980609188; https://openalex.org/W2300903995; https://openalex.org/W1549525630; https://openalex.org/W1521044561; https://openalex.org/W2077711221; https://openalex.org/W2980038802; https://openalex.org/W607321298	Feminism; Lesbian; Identity (music); Politics; Sociology; Gender studies; Identity politics; Political science; Philosophy; Aesthetics; Law	Anarchism and Radical Politics; Race, History, and American Society	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Are We on a Wavelength Yet? On Feminist Oceanography, Radios, and Third Wave Feminism	2014	12	Ednie Kaeh Garrison	1. Ednie Kaeh Garrison	False	closed	https://openalex.org/W2497914181; https://openalex.org/W3007736829; https://openalex.org/W2483930838; https://openalex.org/W1580937470; https://openalex.org/W2478377768; https://openalex.org/W2951744762; https://openalex.org/W2154090771; https://openalex.org/W1966127796; https://openalex.org/W606906752; https://openalex.org/W2803224860; https://openalex.org/W2461773664; https://openalex.org/W155231701; https://openalex.org/W2108317430; https://openalex.org/W2316971728; https://openalex.org/W3159418010; https://openalex.org/W2616015094; https://openalex.org/W3012675692; https://openalex.org/W2499879412; https://openalex.org/W3013483664; https://openalex.org/W1977238402	Feminism; Oceanography; Telecommunications; Sociology; Gender studies; Geology; Computer science	Coastal and Marine Management	Physical Sciences	Environmental Science	Management, Monitoring, Policy and Law	en	article
Decolonial Feminisms, Decolonising Feminisms	2025	3	Deevia Bhana; Tamara Shefer; Giti Chandra	1. Deevia Bhana; 2. Tamara Shefer; 3. Giti Chandra	False	closed	https://openalex.org/W2094403418; https://openalex.org/W4387901770; https://openalex.org/W4245646993; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W3020532874; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W2899674914	Feminism; Gender studies; Sociology	Colonial History and Postcolonial Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	book
Feminism and Metaethics	2017	3	Amia Srinivasan	1. Amia Srinivasan	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2913877387; https://openalex.org/W2321377148; https://openalex.org/W2110431815; https://openalex.org/W4319786914; https://openalex.org/W2379313737; https://openalex.org/W2990725750; https://openalex.org/W4230814199; https://openalex.org/W3161492277; https://openalex.org/W2209906412	Feminism; Sociology; Gender studies	Legal Education and Practice Innovations	Social Sciences	Social Sciences	Law	en	book-chapter
Feminism in Singapore’s Advertising	1998	5	Lee Chun Wah	1. Lee Chun Wah	False	closed	https://openalex.org/W2748952813; https://openalex.org/W2327568463; https://openalex.org/W1946080426; https://openalex.org/W2364240302; https://openalex.org/W2317596408; https://openalex.org/W2754513840; https://openalex.org/W4306957361; https://openalex.org/W1484437451; https://openalex.org/W2009802567; https://openalex.org/W1577093205	Pleasure; Feminism; Interpretation (philosophy); Ideal (ethics); Subject (documents); General partnership; Advertising; Gender studies; Sociology; Political science; Media studies; Psychology; Law; Business; Programming language; Computer science; Neuroscience; Library science	Socioeconomic Development in Asia; Media, Gender, and Advertising; Gender Diversity and Inequality	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Voices and Veils: Feminism and Islam in French Women's Writing and Activism	2011	6	Anne Donadey	1. Anne Donadey	False	closed	https://openalex.org/W2094403418; https://openalex.org/W2608956199; https://openalex.org/W4245646993; https://openalex.org/W4387901770; https://openalex.org/W4283774608; https://openalex.org/W4390586187; https://openalex.org/W4230473776; https://openalex.org/W2377144030; https://openalex.org/W2330553527; https://openalex.org/W3020532874	Feminism; Islam; Gender studies; State (computer science); Sociology; Religious studies; History; Philosophy; Archaeology; Algorithm; Computer science	North African History and Literature; Multiculturalism, Politics, Migration, Gender; French Historical and Cultural Studies	Social Sciences	Arts and Humanities	History	en	article
Contradictions in teaching feminism	1987	3	Philipa Rothfield	1. Philipa Rothfield	False	closed	https://openalex.org/W2011517474; https://openalex.org/W3093361777; https://openalex.org/W2375986109; https://openalex.org/W4312551713; https://openalex.org/W4386545958; https://openalex.org/W2061182527; https://openalex.org/W4252128182; https://openalex.org/W2050458297; https://openalex.org/W4239902791; https://openalex.org/W4229755953	Feminism; Orthodoxy; Criticism; Openness to experience; Conformity; Epistemology; Sociology; Politics; Neutrality; Subject (documents); Value (mathematics); Gender studies; Philosophy; Political science; Law; Psychology; Social psychology; Mathematics; Computer science; Statistics; Theology; Library science	Foucault, Power, and Ethics; Gender Politics and Representation; Historical Gender and Feminism Studies	Social Sciences	Social Sciences	Sociology and Political Science	en	article
Marketing and the missing feminisms	2022	5	Nacima Ourahmoune; Hounaida El Jurdi	1. Nacima Ourahmoune; 2. Hounaida El Jurdi	False	closed	https://openalex.org/W2765153054; https://openalex.org/W2931838652; https://openalex.org/W2596173151; https://openalex.org/W2051331738; https://openalex.org/W3080576469; https://openalex.org/W4231340554; https://openalex.org/W1491839574; https://openalex.org/W2624733068; https://openalex.org/W2076635222; https://openalex.org/W3132716659	Marketing; Business	Consumer Behavior in Brand Consumption and Identification; Media, Gender, and Advertising; Management and Marketing Education	Social Sciences	Business, Management and Accounting	Marketing	en	book-chapter
